"";"SHP";"VUOSI";"HOITOMUOTO";"JAKSO";"KAYNTEJA";"JAKSOJA"
"1";"Ahvenanmaa";"2019";"ESH avohoito";"1 viikko";3;6
"2";"Ahvenanmaa";"2019";"ESH avohoito";"2 viikkoa";4;6
"3";"Ahvenanmaa";"2019";"ESH avohoito";"4 viikkoa";4;6
"4";"Ahvenanmaa";"2019";"Rehospitalisaatio";"1 viikko";1;6
"5";"Ahvenanmaa";"2019";"Rehospitalisaatio";"2 viikkoa";2;6
"6";"Ahvenanmaa";"2019";"Rehospitalisaatio";"4 viikkoa";2;6
"7";"Ahvenanmaa";"2019";"PTH + ESH avohoito (käynnit)";"1 viikko";3;6
"8";"Ahvenanmaa";"2019";"PTH + ESH avohoito (käynnit)";"2 viikkoa";4;6
"9";"Ahvenanmaa";"2019";"PTH + ESH avohoito (käynnit)";"4 viikkoa";4;6
"10";"Ahvenanmaa";"2019";"Yhteensä (käynnit)";"1 viikko";3;6
"11";"Ahvenanmaa";"2019";"PTH avohoito";"4 viikkoa";1;6
"12";"Ahvenanmaa";"2019";"Yhteensä (käynnit)";"4 viikkoa";4;6
"13";"Ahvenanmaa";"2019";"PTH avohoito (käynnit)";"4 viikkoa";1;6
"14";"Ahvenanmaa";"2019";"Yhteensä";"2 viikkoa";4;6
"15";"Ahvenanmaa";"2019";"Yhteensä";"1 viikko";3;6
"16";"Ahvenanmaa";"2019";"Yhteensä (käynnit)";"2 viikkoa";4;6
"17";"Ahvenanmaa";"2019";"Yhteensä";"4 viikkoa";4;6
"18";"Ahvenanmaa";"2020";"ESH avohoito";"1 viikko";34;73
"19";"Ahvenanmaa";"2020";"ESH avohoito";"2 viikkoa";44;73
"20";"Ahvenanmaa";"2020";"ESH avohoito";"4 viikkoa";49;73
"21";"Ahvenanmaa";"2020";"PTH avohoito";"1 viikko";20;73
"22";"Ahvenanmaa";"2020";"PTH avohoito";"2 viikkoa";31;73
"23";"Ahvenanmaa";"2020";"PTH avohoito";"4 viikkoa";38;73
"24";"Ahvenanmaa";"2020";"Sosiaalihuolto";"1 viikko";8;73
