"shp";"diagnoosi";"vuosi";"pop";"laake";"klotsapiini";"depot";"pvm";"tarkastelujakso"
"Ahvenanmaa";1;2010;37;31;10;2;"31.10";"1 vuosi"
"Ahvenanmaa";1;2011;43;35;14;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2012;39;31;11;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2013;29;25;10;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2014;37;27;8;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2015;21;16;4;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2016;32;21;6;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2017;36;29;10;3;"31.10";"1 vuosi"
"Ahvenanmaa";1;2018;38;31;8;4;"31.10";"1 vuosi"
"Ahvenanmaa";1;2019;38;29;10;3;"31.10";"1 vuosi"
"Ahvenanmaa";2;2010;8;7;1;1;"31.10";"1 vuosi"
"Ahvenanmaa";2;2011;8;7;NA;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2012;8;6;1;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2013;6;4;1;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2014;12;9;2;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2015;6;4;1;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2016;13;10;3;NA;"31.10";"1 vuosi"
"Ahvenanmaa";2;2017;20;12;4;2;"31.10";"1 vuosi"
"Ahvenanmaa";2;2018;14;14;4;2;"31.10";"1 vuosi"
"Ahvenanmaa";2;2019;13;13;6;2;"31.10";"1 vuosi"
"Ahvenanmaa";3;2010;13;11;NA;2;"31.10";"1 vuosi"
"Ahvenanmaa";3;2011;11;6;NA;1;"31.10";"1 vuosi"
"Ahvenanmaa";3;2012;9;7;NA;NA;"31.10";"1 vuosi"
"Ahvenanmaa";3;2013;9;6;NA;NA;"31.10";"1 vuosi"
