"";"SHP";"VUOSI";"IKARYHMA";"SUKUP";"DIAGNOOSI";"N";"VAESTO"
"1";"Ahvenanmaa";"2015";"0-12";"1";1;NA;2092
"2";"Ahvenanmaa";"2015";"0-12";"1";2;NA;2092
"3";"Ahvenanmaa";"2015";"0-12";"1";3;NA;2092
"4";"Ahvenanmaa";"2015";"0-12";"1";4;NA;2092
"5";"Ahvenanmaa";"2015";"0-12";"1";5;NA;2092
"6";"Ahvenanmaa";"2015";"0-12";"1";6;NA;2092
"7";"Ahvenanmaa";"2015";"0-12";"1";7;NA;2092
"8";"Ahvenanmaa";"2015";"0-12";"1";8;NA;2092
"9";"Ahvenanmaa";"2015";"0-12";"2";1;NA;1984
"10";"Ahvenanmaa";"2015";"0-12";"2";2;NA;1984
"11";"Ahvenanmaa";"2015";"0-12";"2";3;NA;1984
"12";"Ahvenanmaa";"2015";"0-12";"2";4;NA;1984
"13";"Ahvenanmaa";"2015";"0-12";"2";5;NA;1984
"14";"Ahvenanmaa";"2015";"0-12";"2";6;NA;1984
"15";"Ahvenanmaa";"2015";"0-12";"2";7;NA;1984
"16";"Ahvenanmaa";"2015";"0-12";"2";8;NA;1984
"17";"Ahvenanmaa";"2015";"13-17";"1";1;NA;856
"18";"Ahvenanmaa";"2015";"13-17";"1";2;NA;856
"19";"Ahvenanmaa";"2015";"13-17";"1";3;1;856
"20";"Ahvenanmaa";"2015";"13-17";"1";4;NA;856
"21";"Ahvenanmaa";"2015";"13-17";"1";5;NA;856
"22";"Ahvenanmaa";"2015";"13-17";"1";6;NA;856
"23";"Ahvenanmaa";"2015";"13-17";"1";7;NA;856
"24";"Ahvenanmaa";"2015";"13-17";"1";8;NA;856
"25";"Ahvenanmaa";"2015";"13-17";"2";1;NA;751
"26";"Ahvenanmaa";"2015";"13-17";"2";2;NA;751
"27";"Ahvenanmaa";"2015";"13-17";"2";3;1;751
"28";"Ahvenanmaa";"2015";"13-17";"2";4;NA;751
"29";"Ahvenanmaa";"2015";"13-17";"2";5;NA;751
"30";"Ahvenanmaa";"2015";"13-17";"2";6;NA;751
"31";"Ahvenanmaa";"2015";"13-17";"2";7;1;751
"32";"Ahvenanmaa";"2015";"13-17";"2";8;NA;751
"33";"Ahvenanmaa";"2015";"18-24";"1";1;4;1114
"34";"Ahvenanmaa";"2015";"18-24";"1";2;NA;1114
"35";"Ahvenanmaa";"2015";"18-24";"1";3;NA;1114
"36";"Ahvenanmaa";"2015";"18-24";"1";4;NA;1114
"37";"Ahvenanmaa";"2015";"18-24";"1";5;NA;1114
"38";"Ahvenanmaa";"2015";"18-24";"1";6;NA;1114
"39";"Ahvenanmaa";"2015";"18-24";"1";7;NA;1114
"40";"Ahvenanmaa";"2015";"18-24";"1";8;NA;1114
"41";"Ahvenanmaa";"2015";"18-24";"2";1;NA;980
"42";"Ahvenanmaa";"2015";"18-24";"2";2;NA;980
"43";"Ahvenanmaa";"2015";"18-24";"2";3;NA;980
"44";"Ahvenanmaa";"2015";"18-24";"2";4;NA;980
"45";"Ahvenanmaa";"2015";"18-24";"2";5;NA;980
"46";"Ahvenanmaa";"2015";"18-24";"2";6;NA;980
"47";"Ahvenanmaa";"2015";"18-24";"2";7;3;980
"48";"Ahvenanmaa";"2015";"18-24";"2";8;NA;980
"49";"Ahvenanmaa";"2015";"25-34";"1";1;6;1772
"50";"Ahvenanmaa";"2015";"25-34";"1";2;2;1772
"51";"Ahvenanmaa";"2015";"25-34";"1";3;3;1772
"52";"Ahvenanmaa";"2015";"25-34";"1";4;8;1772
"53";"Ahvenanmaa";"2015";"25-34";"1";5;NA;1772
"54";"Ahvenanmaa";"2015";"25-34";"1";6;1;1772
"55";"Ahvenanmaa";"2015";"25-34";"1";7;2;1772
"56";"Ahvenanmaa";"2015";"25-34";"1";8;NA;1772
"57";"Ahvenanmaa";"2015";"25-34";"2";1;5;1643
"58";"Ahvenanmaa";"2015";"25-34";"2";2;2;1643
"59";"Ahvenanmaa";"2015";"25-34";"2";3;1;1643
"60";"Ahvenanmaa";"2015";"25-34";"2";4;2;1643
"61";"Ahvenanmaa";"2015";"25-34";"2";5;NA;1643
"62";"Ahvenanmaa";"2015";"25-34";"2";6;1;1643
"63";"Ahvenanmaa";"2015";"25-34";"2";7;2;1643
"64";"Ahvenanmaa";"2015";"25-34";"2";8;NA;1643
"65";"Ahvenanmaa";"2015";"35-44";"1";1;4;1876
"66";"Ahvenanmaa";"2015";"35-44";"1";2;1;1876
"67";"Ahvenanmaa";"2015";"35-44";"1";3;4;1876
"68";"Ahvenanmaa";"2015";"35-44";"1";4;1;1876
"69";"Ahvenanmaa";"2015";"35-44";"1";5;NA;1876
